CodeNo,Name,Address,Tel,PIN,VAT,CPerson,Pos,Supplier,Age30,Age60,Age90,AgeOver,OPBal,TotalDue,Pick,Company,BBF01,BBF02,BBF03,BBF04,BBF05,BBF06,BBF07,BBF08,BBF09,BBF10,EMail,Def,Client
354,"JEMYSUN ENERGY SOLUTIONS LTD","EASTERN BYPASS RUIRU","0707702387",,,"MERCY","10.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
355,"MOHD KIBARAWA","NYALI MOMBASA","0722279709",,,"MOHD KIBARAWA",,0,31400,6500,-2250,13500,0,49150,1,0,0,0,0,0,0,0,0,0,0,0,,0,1
356,"MOHD NASSOR ","BARSHEBA ","0719555700",,,"MOHD NASSOR",,0,0,14800,0,0,0,14800,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
357,"BHATIA TRONICS ","MOMBASA","0722629388",,,"BHATIA SUDHIR","2.",1,0,-45500,0,45500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
358,"SAMY VIGINGI ",,"0723610760",,,"SAMI","22.",1,0,0,4000,3000,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10004,"Q&Q WHOLESALERS LTD",,,,,,,1,7500,0,0,0,0,7500,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10005,"KITWABALA LTD",,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10006,"COAST STAR","CHINA","+8613256114457",,,"CHINA ",,1,0,0,0,179994.3,0,179994.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10007,"ALKAI  POWER SOLUTIONS LTD","0799990396","0740782672",,,"JOSEPH ",,1,3200,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
9999,"BBF",,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
359,"DURAHARD LTD","BLUE ROOM AREA","0722366233",,,"PARIT /MUKESH","7.",1,0,0,0,-56600,0,-56600,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
360,"MUHAMMAD NASSOR ",,"0719555700",,,"MUHAMMAD","16.",1,0,12600,19400,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
361,"KENYOS WOOD AND INTERIOR LTD","44 ENTERPRISE ROAD INDSTR AREA","0769888222",,,,"12.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
362,"AMIZA TRADERS",,"0736500999","A007232872T",,"SHAKEER",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
363,"FARID NASSOR ",,"0726666266",,,"FARID",,0,-49000,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
364,"PREMIER TRADING","NAIROBI",,,,"NIPUL ","20.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
365,"MALSAT TRADERS LTD","MALINDI","0726818120",,,"ABDALLAH .BADI",,0,0,460620.41,0,0,0,460620.41,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
366,"VICOUNTE MACHINERIES LTD","MACHINERIESVICOUNTE@GMAIL.COM","0703298098","P051772335F",,"ALI MUHDHAR","25.",1,0,0,16700,0,0,16700,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
367,"MWACHUO ","KWALE","0720812550",,,"MWACHUO",,0,0,8500,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
368,"TOP TIME ","MOMBASA","0725176900",,,"JUNIOR","23.",1,47389.95,0,0,0,0,47389.95,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
369,"JAMAL BAYUSUF ","AO BAYUSUF",,,,"LUQMAN",,0,0,0,93900,0,0,93900,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
370,"MOHAMED SUPPLIES",,"0702212802",,,,"15.",1,0,0,9100,0,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
371,"MEGHA MARKETING",,,,,,"14.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
372,"ONE STOP PUMPS LTD",,,,,,"17.",1,0,0,148500,0,0,148500,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10000,"EAST AFRICAN CABLES PLC","ADDIS ABABA ROAD INDUSTRIAL AREA ","072155544,0722202125","P000595019S",,,"8.",1,0,0,-0.17,0,0,-0.1699999999982538,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10001,"SADDAT MAGRAM","0723888888","0732888888",,,"SADDAT ",,0,28490,0,0,0,0,28490,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
10002,"MAGRAM BUTCHERY LTD",,,,,"SADATI",,0,-7655,36145,0,0,0,28490,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
10003,"EQUINOX-RENEWABLES LTD (INVEREX)",,"0115854727",,,,"9.",1,0,0,3700,0,0,3700,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
